denominationUniteLegale,siren,trancheEffectifsUniteLegale
CORLET IMPRIMEUR,312733033,22
DESHAYES ET ASSOCIES (SOCIETE CIVILE PROFESSIONNELLE TITULAIRE D'UN OFFICE NOTARIAL),312733058,21
GASCOGNE FLEXIBLE,312757347,31
HYDRO EXTRUSION PUGET,312757974,32
ETABLISSEMENTS MARTIN,312771520,21
AKWEL VANNES FRANCE,312786338,31
PERIPHERIQUE NORD,312798911,21
COPY-SUD,312800097,21
GRUAU TOURS,312800980,21
AMBULANCES COQUET,312814155,21
STE EXPL DU CASINO DE LA BAULE,312826811,21
LE GABRIELLE D ESTREES,312855422,21
ASHBAY COMMUNICATION,312855968,21
ALLERGAN FRANCE,312856917,31
COMPTOIR GENERAL DU RESSORT,312857592,32
TOYS MOTORS LA ROCHELLE,312904394,21
BOCAPOM,312904519,21
GEMO LOGISTIQUE VETEMENTS,312911845,22
PARADE,312911902,22
SA MIGNOLA CARRELAGES,312937725,21
SECAFI,312938483,32
DE LA GRANGE,312939408,22
GEZE FRANCE,312951411,21
MARBERIC H,312952054,21
MAINTENANCE INTERNATIONAL SERVICE,312952245,21
SOCIETE DES TRANSPORTS COGNACAIS,312974751,22
SMRD-BAT 92,312975337,22
ETABLISSEMENTS CHIMBAULT-PEYRIDIEUX,312975931,21
BERTON SAS,312989189,21
C.MORTELECQUE,312990195,21
MECANIQUE GENERALE FONTAINOISE,313002214,21
ACTION PALETTES PLUS,313040933,21
BLUE YONDER FRANCE SAS,313041048,21
SYSTEME U NORD-OUEST,313042251,32
PRO-DELICES,313052672,21
HOMNIA NOTAIRES - JEAN-PIERRE PROHASZKA - LIONEL MONJEAUD - CEDRIC PRETET - BENJAMIN DUMONTET - MARION PIERSON - ELODIE,313053696,21
PELLENC BORDEAUX-CHARENTES,313063653,22
CHEVAL TP,313075038,22
RENOFORS FRANCE,313087249,21
LEROUX,313088122,21
ADECIA GROUPE,313088957,21
CENTRE DEPARTEMENTAL DE L ELEVAGE OVIN,313105769,21
SOCIETE D'AGENCES ET DE DIFFUSION,313125437,41
OCENE,313125791,21
TRANSPORTS JMS,313140642,21
CLINIQUE DU ROND POINT DES CHAMPS,313150393,21
KEOLIS ARRAS,313151110,22
SOC COOPERATIVE SOCAMIL,313151292,32
GELAE,313151466,32
SA GEST EXPL CLINIQ ST CHRIST,313152159,21
DELIFRANCE S A,313167173,42
STE D'EXPLOITATION DES TRANSPORTS MESPLES,313167884,32
PREVOST,313195026,22
EIFFAGE ENERGIE SYSTEMES - LOIRE OCEAN,313196768,32
CAZAL,313211864,32
GRANDE REMISE LOCATION,313242109,21
PMG ARDECHE,313242778,22
SOCIETE COOPERATIVE D'ENTRETIEN THERMIQUE ELECTRIQUE CONDITIONNEMENT,313244105,22
SODAVI,313272361,21
POLYCLINIQUE DE LA GUADELOUPE,313285397,31
MARSEILLE COURSES,313297988,21
CELIO FRANCE,313334856,51
ELECTRICFIL SERVICE,313349144,21
COMPTOIR GENERAL POUR LA FERMETURE,313350613,22
MILLET PORTES ET FENETRES,313382418,41
ALPADISTRI,313383994,21
FONCIA MORBIHAN,313384901,21
MECA-TRANS,313386146,21
TECHNIQUES ET TECHNOLOGIES APPLIQUEES,313388324,21
BMC SOFTWARE FRANCE SAS,313400681,21
ATS-ATPE,313402083,22
PATISSERIE SALEE VENDEENNE,313414062,41
SYNERLINK,313446189,32
KAESER COMPRESSEURS SAS,313446353,21
IN EXTENSO COGEX,313447690,21
SARL MEWA,313455545,31
D'AUCY CONTRES,313468126,21
SIIM - SOCIETE INTERNATIONALE D'IMPORTATION,313468191,21
LIGHT,313468852,21
SOCIETE DE RESTAURATION ET DE RECEPTION STRASBOURGEOISE,313483224,21
METROPOLITAN FILMEXPORT,313483604,21
SOCIETE DES TRANSPORTS FERTIER,313484206,21
SOCIETE IZEENNE DE MENUISERIE,313484503,21
TRANSPORTS GEORGES PORTAL,313485187,22
WABCO FRANCE,313497786,21
CLINIQUE DE L'ANGE GARDIEN,313523482,21
GUENANT AUTOMOBILES,313525123,22
ETABLISSEMENTS SEMENZIN ET FILS - LE MANOIR ALEXANDRE,313525610,21
AMERICAN EXPRESS CARTE FRANCE,313536898,41
CENT REEDUC FONCTION SIOUVILLE,313537805,22
SICA LAIT,313553018,21
SCP J-M MAREL C POPINEAU V ROCCA M-J AH-FENNE N CHANKHU HINE ET S PONS-SERVEL NOTAIRES ASSOCIES,313553711,21
COOPERATIVE AGRICOLE DU NORD EST,313567174,21
COOPERATIVE AGRICOLE TERRACOOP,313567182,21
ROBERT RAVILLON,313588287,22
LEASEPLAN FRANCE SAS,313606477,32
STEF INFORMATION ET TECHNOLOGIES,313609133,31
SELECTION DIFFUSION VENTES,313619843,21
ALLFLEX EUROPE,313620783,31
VOYAGES LOYET,313642183,22
COMPAGNIE FINANCIERE ET DE PARTICIPATIONS ROULLIER,313642548,22
PHILIBERT SARL,313642613,21
BECRIDIS,313643108,22
TAM GROUPE,313659674,21
KELVION,313670747,22
SOCIETE DES TRANSPORTS MARTIN,313689341,21
FAURE - VERCORS,313710832,22
CLINIQUE DE CHOISY,313752123,32
MACO PRODUCTIONS,313777997,41
SA CHANTIERS AMEL,313781650,22
CAHPP CONSEIL ET REFERENCEMENT,313790370,21
SOLADI,313800799,31
CARREFOUR BANQUE,313811515,42
FRIGO TRANSPORTS 85,313831554,22
GRANDJOUAN PROPRETE,313832438,22
ALU RIDEAU,313842189,41
TRANSPORTS AH-NIAVE,313842759,21
CENTRE CONVALESCENCE ET DIETETIQUE,313861379,21
GAILLARD HUTEAU ESSONNE ELECTRICITE,313872764,21
ID VOYAGES,313873598,21
PHV PEINTURE HAUTE VOLTIGE,313873838,21
SOCIETE REUNIONNAISE FINANCEMENT-SOREFI,313886590,22
LESTRA,313915761,31
OXYGRAVURE,313915902,22
LA MAISON DE LA DANSE,313955288,21
MESSAGERIES LAITIERES,313966103,31
SAGE,313966129,42
TRANSPORTS DENOUAL SA,313966269,22
CAISSE REGIONALE CREDIT AGRICOLE MUTUEL MARTINIQUE GUYANE,313976383,32
SIETRA PROVENCE,313987307,21
ENVEA,313997223,31
SCEA LES POISSONS DU SOLEIL,313998031,21
MAZARS LONS,313998791,21
OGER INTERNATIONAL,314007766,22
NOUVELLE DISTRIBUTION CORREZIENNE,314018383,22
COOP PRODUCT NOIX LIMOUSI PERIGOR QUERCY,314018409,21
LA FRANCAISE ASSET MANAGEMENT,314024019,21
SORAPEL : SOCIETE OUVRIERE REGIONALE POUR LES APPLICATIONS DE L'ELECTRICITE,314024134,22
SONOVA FRANCE,314036682,22
VIGGEN,314055245,22
SYNLAB LORRAINE,314067901,21
CHRISTIE'S FRANCE SAS,314077561,22
SOCIETE VITICOLE DE SERVICE,314093683,22
ASCENSEURS FABRICATION ENTRETIEN MONTAGE,314104167,31
BELMET,314119157,21
AIR LIQUIDE FRANCE INDUSTRIE,314119504,51
SOCIETE LYONNAISE DE ROBINETTERIE SOLYRO,314136185,21
SOCIETE D'ECONOMIE MIXTE D'EQUIPEMENT POUR LE DEVELOPPEMENT DE LA LOZERE,314139635,21
ALBERDIS,314172248,22
ETABLISSEMENTS REMBAUD,314174293,21
SFM,314175530,22
SAINT-JEAN TRANSPORTS,314186735,22
TOUT CHAUD,314187048,21
SOCIETE DE DISTRIBUTION DE LESPARRE,314197575,31
COBRA SON,314208653,21
BIZERBA FRANCE SA,314209206,31
LAQUET,314209412,21
LEGENDRE CONSTRUCTION,314209628,21
SOCIETE DE CONDITIONNEMENT ET DE DISTRIBUTION DE PRODUITS PHARMACEUTIQUES DE LA REUNION,314210626,22
ETABLISSEMENTS ANDRE COO,314258690,21
ZINQ AUVERGNE,314258997,22
BLANC TRANSPORTS VEHICULES,314259284,21
LEVILLAIN CHAUFFAGE SANITAIRE,314271982,21
PV DISTRIBUTION,314283326,31
BUGAL,314292624,22
FIMUREX AQUITAINE,314328873,21
COPADIS,314343013,21
AFIBEL,314360041,32
MAGNEDIS,314369133,21
TRANSPORTS DU VAL D'OISE,314388950,41
SA VILLEFRANCHE LES SABLES,314390519,21
BDO LES HERBIERS,314392598,21
PAULSTRA SNC,314397670,51
HUTCHINSON SNC,314397696,51
AIGLE INTERNATIONAL,314397712,41
MAPA,314397720,31
DANI-ALU,314406646,22
SOCIETE PERINO ET BORDONE,314406836,21
EUROPE SURVEILLANCE,314419185,21
TRNE,314420779,22
L'OREAL PRODUITS DE LUXE FRANCE,314428186,41
LA BOULANGERIE DE L'EUROPE,314438326,22
SOCIETE D'ETUDES D'EQUIPEMENTS DE CONSTRUCTIONS ET DE DIFFUSION INDUSTRIELS,314451915,21
SOREGIES SERVICES,314464611,21
TAKASAGO EUROPE PERFUMERY LABORATORY,314466277,32
TRANSCAUSSE,314467986,22
KORIAN LES OLIVIERS,314491903,21
SOCIETE LOCATION SERVICE,314492612,21
MIDI OLYMPIQUE SAS,314504762,21
CLOTURES MICHEL WILLOQUAUX,314515198,22
SEDEV,314515206,41
SODATEC CITES,314525569,31
ASSERVA,314526732,21
SOPREMA,314527557,41
EDYCEM BETON,314528233,22
SOC GUYANAISE DES EAUX,314528985,22
CLINIQUE DE L'ATLANTIQUE,314538331,32
CAISSE REGIONALE CREDIT AGRICOLE MUTUEL,314560772,32
ANVIS EPINAL,314561382,21
GITEC HUMAN RESOURCES,314569963,21
TYCHANCE SA,314570326,21
TOURING MARSEILLE,314572629,21
ABCIS BITERROIS BY AUTOSPHERE,314594193,22
NOVANDIE,314603051,42
CHABE,314613720,31
HIPPOCAMPE CAEN,314614884,22
MICHAUD,314634338,21
W & H FRANCE,314648106,21
SOC SIREMBALLAGE,314658113,22
DISTRIBUTION VIGANAISE,314658543,21
BAYERN MERIDIONAL BY AUTOSPHERE,314658584,21
SCP AUDRIN - POUJOL - DUNIE-MERIGOT - GIBERT,314670035,21
STE D'ECONOMIE MIXTE DES TRANSPORTS EN COMMUN DE L'AGGLOMERATION NANTAISE SEMITAN,314684960,51
FONCIA TERRE OCCITANE,314686429,22
HOME MEDICAL SERVICE,314695958,21
SOCIETE GEL MANCHE,314696386,22
SOCIETE D'USINAGE MODERNE CARBURE ACIER,314703463,21
DOCAPOSTE DPS,314704057,41
CONTINENTAL AUTOMOTIVE FRANCE,314722026,42
VAGNEUR SAS,314723149,22
CARRIERES PLO,314730490,21
KNAUF ILE DE FRANCE / OUEST,314746850,21
CENTRE D IMAGERIE MEDICALE DU GALILEE,314746876,21
ETRECHY DISTRIBUTION,314747098,21
PHILIP FRERES,314752429,21
SEGONZAC SAS,314765728,22
GROUPE REAL EQUIPEMENTS ELEC NORMANDIE,314766585,21
TRUMPF,314775867,22
AESCULAP,314788803,22
MAURIS BOIS,314789215,22
CHATILLON DISTRIBUTION,314789314,22
HABASIT FRANCE,314789546,21
ETABLISSEMENTS JEAN CHANOINE,314789710,21
ANJOU ELECTRONIQUE,314814831,22
GRAND'OUCHE,314815457,22
ENVIRONNEMENT SA,314818014,22
SYNLAB BIOFRANCE,314818600,22
CBASE,314818758,21
SOC DISTRIB SNACKS ELIZE MATILLON,314819194,21
BUSCH FRANCE,314830043,21
COMPAGNIE FROMAGERE DE LA VALLEE DE L'ANCE,314830050,32
FROMAGERIES DES CHAUMES,314830183,41
SOCIETE ARDENNAISE D'AMELIORATION DU CADRE DE VIE,314830548,21
LABORATOIRES DES PRODUITS HYODALL,314844069,22
SOCIETE REUNIES BERGEON BURET-GALLAND,314866310,22
CONTOYDIS,314866419,31
SOVIM,314867979,21
ENTREPRISE OUVRARD,314870387,21
TEXAA,314870445,21
TRANSPORTS AGGLOMERATION DE MONTPELLIER,314871815,42
SOCIETE REUNIONNAISE DE DISTRIBUTION PHARMACEUTIQUE,314888546,21
SOCIETE D'ETUDES ET DE REALISATIONS MATERIEL AGRICOLE DE PIERREFONTAINE - SERMAP,314889387,21
RONDEAU FRERES,314901984,22
IMPRIMERIE POLLINA,314911827,21
FORTE BIO UNILABS,314911900,21
PORCHER TISSAGES,314925744,32
EDITIONS CONCORDE,314926676,21
KEOLIS BLOIS MOBILITES,314927500,22
SOCIETE D'APPLICATIONS DES TECHNIQUES D'EQUIPEMENT DU BATIMENT,314927880,22
TRANSPORT INGER,314953662,21
TRANSPORTS PETIT,314971573,21
B & S INTERNATIONAL FRANCE,314972324,21
OUTOKUMPU DISTRIBUTION FRANCE,314975426,21
BILSKI,314978180,21
VANDOREN SAS,314978750,22
YMAG,314979337,21
KEOLIS SEINE ESSONNE,314988619,22
EIFFAGE ENERGIE SYSTEMES - GAME INGENIERIE,314990185,22
SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,315000943,51
SASSO,315003343,21
GE MEDICAL SYSTEMS,315013359,51
TESTO,315030635,21
LES CARS MOREAU,315043190,22
SERPOLLET SAVOIE MONT-BLANC,315062125,21
GEODIS CL ILE DE FRANCE,315062752,32
GINDRE COMPOSANTS,315064188,22
GUISNEL DISTRIBUTION SAS,315064501,41
LA FRANCAISE DES JEUX,315065292,42
MAX MARA S.A.S.,315065300,22
AVANTIX,315067942,32
FOURE LAGADEC MEDITERRANEE,315067959,21
STE EXPLOIT ENTREP POTHELET,315080382,21
CENTRE D'ETUDES BIOLOGIQUES ET PHARMACEUTIQUES,315105163,21
ENTREPRISE LEROUX,315105429,22
ATLANTICO,315105858,21
POINT S FRANCE,315127944,21
FROMAGERIES RAMBOL,315130641,21
BORMIOLI PHARMA FRANCE,315131904,21
SICAP,315143743,22
GARRETT MOTION FRANCE,315161141,41
INVEHO UFO,315172023,22
STAE SOUS TRAITANTS ASSOC ELEC,315173369,21
SOC NETTOYAGE PROVENCAL,315175448,31
ZIMMER BIOMET FRANCE,315202564,22
VETAGRI,315227751,21
ZIEGLER SERVICES,315228726,21
TRANSPORTS EN COMMUN DE LA REGION D'AVIGNON,315230169,32
ETOILE MEDITERRANEE,315230177,21
SCORI,315249805,22
SOCIETE INTERPROFESSIONNELLE DES BOUCHERS ET CHARCUTIERS ABATTEURS A SURGERES,315251033,21
SUN SERVICE,315251140,31
LABORATOIRE DE BIOLOGIE MEDICALE ALLIANCE ANABIO,315252304,22
SUCRERIE DE BOIS ROUGE,315253922,22
HUSQVARNA FRANCE,315256222,22
DXC TECHNOLOGY FRANCE,315268664,42
ETS JEAN MARTIN,315270637,21
SOCIETE DE GESTION ADMINISTRATIVE ET DE REGIMES DE PREVOYANCE (SOGAREP),315278911,41
P. TIERIN ENTREPRISE GENERALE NETTOYAGE,315280636,22
TRANSPORTS MASSICOT,315280818,22
OTIMA,315280826,22
SOC D'IMPORTATION LECLERC,315281113,32
SN AGENCES,315281766,32
DUPONT SECURITE,315310557,21
NUITS SAINT-GEORGES DISTRIBUTION,315312959,21
AUTOCARS GERARDIN,315321315,21
LES FROMAGERS DE THIERACHE,315332569,22
GENERAL LOGISTICS SYSTEMS FRANCE,315334011,42
SA AUDIO PHASE,315346759,21
BULGARI FRANCE SAS,315347641,22
BERTO NANTES,315348128,21
SOCOFLEC,315348169,32
TRANSDEV TOURAINE,315350165,31
LES RAPIDES DU POITOU,315350181,22
TRANSDEV BFC NORD,315350199,22
JEANNIN AUTOMOBILES 77,315359455,21
DISTRIBUTION SAINT MARC,315362103,21
METAROM FRANCE,315384552,22
AUTOCARS MAISONNEUVE,315384867,32
AME HASLE,315385740,21
I2S,315387688,21
ATRYA,315399121,21
COTEB ENTREPRISES,315401679,22
AUTOCARS CHAUCHARD,315412577,21
CLIMEX,315429381,21
AMUNDI IMMOBILIER,315429837,22
ENTREPRISE BONGLET,315434852,32
VOYAGEURS DU MONDE,315459016,32
"VINCENT GERARD, JEAN-MARIE GUIBERT, VIRGINIE FOUCAULT, THIERRY VAILLANT, PASCAL EROUT, SEVERINE DE LA TAILLE...",315472951,21
DELISLE LOGISTIQUE,315474445,22
ENTREPRISE JEAN LEFEBVRE ILE DE FRANCE,315474536,41
GANDON TRANSPORTS,315485409,31
AUTODISTRIBUTION BASSIN PARISIEN NORD,315493270,32
BAUDRY AUTOMOBILES,315502773,21
CARNOT DISTRIBUTION,315515916,21
ANTIN RESIDENCES SA HABITAT LOYER MODERE,315518803,32
CHAUSSURES DU CHATEAU,315519157,21
LABORATOIRE RENAUDIN,315533919,31
EN'GO BOURGOGNE,315535864,21
OSLO,315535906,22
BRETAGNE SUD AUTOCARS,315547737,21
ETS ROLAND LEMAIRE ET FILS,315549139,21
ADREXO,315549352,52
SARL L'ENTRETIEN,315560714,32
ALUTEC,315564344,21
JC CONFECTION,315587725,21
HOTEL TSANTELEINA,315587956,21
SARP CENTRE EST,315588012,32
G.I.E. D'ABEILLE ASSURANCES,315597500,42
CAEN DISTRIBUTION,315606764,32
MICROCHIP TECHNOLOGY NANTES,315629246,22
SA SAINT-JAMES ET ALBANY,315629683,22
RECA FRANCE,315632505,22
BALT EXTRUSION,315633081,22
SERVICES ET CONSOMMATIONS,315633834,21
ARTEMIDE SAINT FLORENT,315634907,21
SOCIETE ROUTIERE DE HAUTE CORSE,315639187,21
CPM FRANCE,315666958,42
LES DEUX MONTPARNASSES SA,315667022,21
NUVIA PROCESS,315667386,32
BOURG DISTRIBUTION,315681791,32
VALDIS,315681890,22
TRANSPORTS CHAZOT LYON,315696195,21
ICOA FRANCE,315708586,21
GALERIES LAFAYETTE VOYAGES,315710251,21
NOVACEL,315710293,32
GEDIMO,315711028,21
ROHLIG FRANCE SAS,315711218,22
SEDE ENVIRONNEMENT,315732842,32
KAVIARI SAS,315734194,21
AUTO PIECES OCCITANES APO,315735019,21
GUILMAN,315735456,22
SINGER ET CIE,315736199,21
SODILUC,315737114,31
MAISON MILHAU,315748897,22
SARL SOULEIAS,315749788,22
GIBERT-CLAREY IMPRIMEURS,315767806,21
BANK AUDI FRANCE,315768176,21
SOCIETE ETUDES ET CONSTRUCTION MECANIQUE,315769075,21
BANQUE DES CARAIBES,315769257,22
TRANSPORTS VOISIN,315769315,21
SCM AUDRIX,315769646,21
SGC SECURITE,315782458,22
POLYCLINIQUE MONTREAL,315784520,31
NORSUD,315795542,22
BROCHAGE 3000,315797720,21
GMF VIE,315814806,32
SOCIETE ELECTROMECANIQUE ET ELECTRONIQUE ROGER SEMER,315829291,22
LA FERME DU SPAHI F.D.S,315843540,22
VOGEL TP,315843961,22
VAL D'ERDRE DISTRIBUTION,315857607,21
IDEX ENERGIES,315871640,51
GARAGE LEMOINE,315872903,21
JEANNE ARTHES,315873182,22
SAMAT RHONE-ALPES,315919381,32
NOUVETRA,315919779,21
INETUM BUSINESS SOLUTIONS FRANCE,315930578,21
HOUGHTON,315945733,21
SEGNERE SAS,315948141,22
"ALLEZ & ASSOCIES, SOCIETE CIVILE PROFESSIONNELLE DE NOTAIRES",315964643,21
SOFTWAY MEDICAL,315985135,21
LES GRANDS CHAIS DE FRANCE,315999201,42
SOCIETE DES TRANSPORTS LANDOIS,315999474,21
CAHORS REALISATION DEVELOP ELECTRONIQUE,316000892,21
KARTESIS FRANCE,316014984,31
HMY FRANCE,316016930,41
GOSIER LES BAINS,316026038,22
SOC ELECT CONTROLE AUTOMATISME,316039619,21
CLINIQUE MEDICO CHIRURGICALE DE BRUAY,316039833,21
ATELIER CONSTR ETUDES REALISA ELECTR....,316040252,22
DUNOD EDITEUR,316053628,22
THERMIQUE ELECTROMECANIQUE PLOMBERIE,316054014,21
LE NETTOYAGE,316054147,32
HOTEL GRAY D'ALBION,316057116,21
GFK RETAIL AND TECHNOLOGY FRANCE,316083567,22
FROMAGERIES PERREAULT,316085620,41
RESTAURATION ORLY 1,316098425,32
BEDIER,316099308,21
SUEZ RV CHARENTE LIMOUSIN,316099993,22
LIMOUSIN ADHESIFS,316100494,21
ABRINOR,316101039,21
SID,316110725,21
SOC HINO,316111897,21
SEBTP-CONSTRUCTION,316111962,21
MA-GEO,316112317,21
ETUDES INSTALLATION MAINTENANCE INDUSTRI,316113208,32
EIFFAGE CONSTRUCTION BRETAGNE,316137959,32
SNC VENDASI,316141993,21
ALTA SPACE,316155670,21
ETANEUF PROPRETE,316158500,32
AIA ARCHITECTES,316173160,22
FIMUREX BTP NORD,316186600,21
SOCIETE D'EXPLOITATION HOTELIERE DU CASINO DU SUD,316189182,21
GROUPE SAINT CHRISTOPHE,316221761,21
BAYARD,316222595,31
CHIMIMECA,316238294,21
SAUTEL DISTRIBUTION,316238989,22
LABORATOIRES B T T,316252295,32
LAITERIE SAINT PERE,316252477,32
SAINT-GOBAIN CRISTAUX ET DETECTEURS,316263029,21
LE CERCLE DES VIGNERONS DE PROVENCE,316265016,21
VAUDRY DISTRIBUTION,316278548,31
CHAVANEL S.A.S.,316291590,22
SOCIETE PUBLIQUE LOCALE GESTION DES ESPACES PUBLICS DU RHONE AMONT,316312594,21
CERBALLIANCE OISE,316314343,21
"SCP PATRICK MEDARD, AGNES BERTON, LAURENT GUEDJ, HIND ELAIDOUNI, HUISSIERS DE JUSTICE ASSOCIES",316319185,21
LABORATOIRES MERCK SHARP & DOHME-CHIBRET,316331065,41
EPSYS,316343441,31
TECHNOLOGIE SERVIER,316357334,32
SAS ASQUINI MGP,316359041,22
BDL VALENCIENNES,316359504,21
SAINT MARCEL DISTRIBUTION,316359967,22
SOSIGER,316388180,21
1979,316388305,21
FIRAC,316389196,22
SAINT-JEAN DISTRIBUTION,316389444,21
LAMOTTE SA,316390087,21
L'ESCALE,316391812,21
VINDEMIA LOGISTIQUE,316392224,32
LES FROMAGERS DE SAINT OMER,316393685,21
SAVVIC AUTO,316395581,21
PHYTO SERVICE,316404011,21
VILADIS,316417674,21
ALAINE RHONE,316418276,21
BIOMEDILAM,316419621,22
GAMM VERT SYNERGIES SUD-OUEST,316432467,31
ERTP HIBON POMPES A ANNEAU LIQUIDE,316432962,21
LE BATIMENT ASSOCIE,316464171,22
SCA UNICOQUE,316468461,22
CORREZE FERMETURES,316468727,22
SALVA ROUSSEAU AUTOMOBILE,316470079,21
SOCIETE PUBLIQUE LOCALE DES TRANSPORTS INTERCOMMUNAUX SAMBRE AVESNOIS,316472455,22
AGRI-POLE,316473305,21
CORSI FRANCE INTERNATIONAL TRANSPORT SA,316474766,31
LAMBERTON,316475227,21
CENTRE DE READAPTATION FONCTIONNELLE ET MOTRICE DU FINOSELLO,316475847,22
SCORE DDB,316486406,21
MARS ET CO,316486588,21
DECOUFLE SARL,316500909,22
INSTITUT RADIO ASTRONOMIE MILLIMETRIQUE,316501238,21
M7V,316502764,22
ALLIANCE AUTOMOTIVE PARIS NORD,316512987,22
PAYS DE REDON DISTRIBUTION - PRD,316514546,31
ERMO,316514553,22
AALBERTS SURFACE TECHNOLOGIES SAS,316514769,22
COMPTE R,316520048,21
SODEM,316522853,21
GAMESYSTEM,316534783,21
ATELIER FOREZIEN DU FRAIS,316535046,31
FONCIA ROUSSILLON,316539030,22
SOCIETE DE DISTRIBUTION CATALANE,316539071,31
TNN PRODUCTIONS,316548791,21
SODIBOS,316548932,21
TRANSPORTS ORTOLLAND,316559293,21
S.A.B. BELMONT,316559582,21
VAUX DISTRIBUTION,316569953,21
SOCIETE NOUVELLE DEPUSSAY,316571058,31
SARETEC DOMMAGE AQUITAINE,316581677,21
SOC GEST TUNNEL MONT BLANC,316590256,22
MEDIALLIANCEGRAPHIC,316591114,21
ENERGIE TRANSFERT THERMIQUE,316607225,32
MYFADIS,316608611,21
FROMAGERIE BERTHAUT,316608942,21
DIFFORVERT,316619758,22
SOCIETE DE DISTRIBUTION BARBEZILIENNE,316620483,22
CONEGAN,316620756,21
ETABLISSEMENTS CHARLES CHEVIGNON,316643170,22
INTERPANE,316643238,21
SOC FIDUCIAIRE COMPTABLE,316656628,31
SOCIETE D'ETUDES DE PRODUITS ET TECHNIQUES D'ARMOR,316672153,21
CAILLES ROBIN,316673987,31
UNIVAL,316674035,22
BENLUX LOUVRES,316696038,22
HEULIEZ BUS,316696996,32
KINGFISHER INVESTISSEMENTS,316701416,21
AGDE DISTRIBUTION,316701911,22
PRIPLAK,316709500,21
TRANSPORTS FLORCZAK,316713288,21
NORMANDY,316713726,32
LEGATIS DIJON QUETIGNY,316722883,21
TECMAPLAST,316741875,22
SOCIETE LA BIOCHIMIE APPLIQUEE,316743095,22
SCEA DE JAPIENOU,316754563,21
POLYCLINIQUE MARZET,316754605,32
PAGES MA,316754985,21
SA MARCEL ROBBEZ MASSON,316769082,22
SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE,316778505,31
CHECY DISTRIBUTION,316779693,32
COMEXPOSIUM,316780519,32
CENTRE DE PATHOLOGIE - BEUREY-HENNEQUIN-KIRCHNER - LEROUX - MONTAGNE - NODARI - OUNNOUGHENE,316792142,21
SYSCO FRANCE SAS,316807015,51
DENIS MATERIAUX,316828581,21
OMRON ELECTRONICS,316853332,22
DELTA POMPAGE,316854363,21
SCHROFF SAS,316854553,31
SOCIETE ACTIVE CASSIGNOL AMENAGEMENT DE LA MAISON,316862747,21
L ATELIER D AGENCEMENT,316881317,21
LES THERMES BORDA,316881341,21
GROUPE MULTINET,316881408,21
PROSJET IRRIGARONNE,316881911,21
MANUTHIERS,316882737,21
SIMAIR,316883180,31
BOONE COMENOR METALIMPEX,316917392,22
ALLIANCE AUTOMOBILES,316918705,22
SOCIETE DE DISTRIBUTION MONTGUYONNAISE,316920131,21
MECALUX FRANCE,316920313,22
TOUTENET,316933712,21
SOC EXPL TRANSPORTS AUDUREAU,316944248,22
CHAUMONDIS,316969385,31
PRODUCT LIFE FRANCE,316969799,22
BREIZELEC,316973015,21
CADIOU INDUSTRIE,316973312,32
POLYCLINIQUE PASTEUR,316980051,21
PEZENAS DISTRIBUTION,316980085,22
HELEN TRAITEUR,317005114,22
RESIDENCE DU MONT AURELIEN,317005585,21
SN BRUDIS,317007748,31
A.M.L. MICROTECHNIQUE LORRAINE,317031474,21
ARELIS,317031706,22
HANSGROHE,317031813,21
SCOTNET,317032779,32
SAEM EXPLOITATION STATIONNEM VILLE PARIS,317032993,32
EURISK,317036887,32
EDIPOST,317037521,21
GERVAIS,317063014,21
FONCIA MARNE LA VALLEE,317064285,21
CAISSE DE CREDIT MUT AGRIC DU CTRE,317082907,41
M&L DISTRIBUTION (FRANCE) S.A.R.L.,317097350,41
OMNIUM TECHNIQUE D'ETUDES ET DE CONTROLES DE MONTAGES INDUSTRIELS,317098432,21
MJM GRAPHIC DESIGN,317098614,22
BTM,317099240,21
GALDERMA RESEARCH & DEVELOPMENT,317099679,32
SOCIETE FROMAGERE DU LIVRADOIS,317120020,22
LES ASSURANCES MUTUELLES DE PICARDIE,317142644,21
EGLY DISTRIBUTION,317144186,22
PRUD'HOMME & BAUM,317165777,21
LE REPUBLICAIN LORRAIN,317169134,32
DS SMITH PACKAGING BRETAGNE,317216950,31
INGENICO GROUP,317218758,22
LABORATOIRES PYC,317220630,21
FITT FRANCE,317220770,22
CENTRE D'EDUCATION ROUTIERE RHONE ALPES,317234706,21
HOPITAL PRIVE CLAUDE GALIEN,317235315,32
ATELIER DE FACONNAGE ET DE BROCHURE DE L'OUEST,317237147,22
HELPEVIA,317237832,21
INTERNATIONAL PAPER SAINT-AMAND SAS,317238004,22
BOUCHERS SERVICES,317238061,41
BRETAGNE LAPINS,317253052,21
BOISSE DISTRIBUTION,317271260,21
NEXO,317272540,21
SOCIETE TAILLEFER,317275618,21
FIDUCIAL INFORMATIQUE,317288389,32
SORODIS,317306116,31
SOCAMA INGENIERIE,317308518,21
ALLIADE RESSOURCES ET ORGANISATION,317324382,22
EUROVIA LIANTS SUD OUEST,317354470,21
ETABLISSEMENTS BOBARD JEUNE,317356632,22
AGCO S.A.S.,317358380,42
CASTEL AMBULANCES DAVID ET FILS,317384311,21
LE FOURNIL VENDEEN,317385813,22
LE SEYEC,317409258,31
GRUEL FAYER,317410249,21
